comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9719071874228272,cold,0.0,False,False,-5.347729682922363,-6.737469673156738,-7.58920955657959,-7.355757713317871,1.389739990234375,0.5615579061282461,temp-v1_2-m010-room_air-vs-freezer_air,cold,0.0,warm_cold,0.6712786608507333,0.16724241595278075,0.07135764378249339,0.09012127941399257,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -10 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9992685343269937,warm,2.0,False,False,-4.558704376220703,-6.338042259216309,-7.368556022644043,-4.441135406494141,0.1175689697265625,1.1041698849968122,temp-v1_2-m010-room_air-vs-freezer_air,warm,2.0,warm_cold,0.4248588356800439,0.07169486157474433,0.025582417931644473,0.47786388481356723,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
freezer air,swimming-pool water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9992685343269937,warm,2.0,False,False,-4.558704376220703,-6.338042259216309,-7.368556022644043,-4.441135406494141,0.1175689697265625,1.1041698849968122,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,warm,2.0,warm_cold,0.4248588356800439,0.07169486157474433,0.025582417931644473,0.47786388481356723,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
freezer air,swimming-pool water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.8142437857043696,cold,0.0,False,False,-5.9733967781066895,-8.548962593078613,-8.161412239074707,-8.000753402709961,2.0273566246032715,0.5120671112774549,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.7576142307150858,0.05766258429009022,0.08495815699771679,0.09976502799710715,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -10 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.6759721483151204,cold,0.0,False,False,-5.003490447998047,-7.338436126708984,-8.497530937194824,-7.221342086791992,2.2178516387939453,0.32817382963749975,temp-v1_2-m010-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.8090377181867803,0.07832758661968033,0.024576852630740817,0.08805784256279847,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -10 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9992685343269937,warm,2.0,False,False,-4.558704376220703,-6.338042259216309,-7.368556022644043,-4.441135406494141,0.1175689697265625,1.1041698849968122,temp-v1_2-m010-bath_water-vs-freezer_air,warm,2.0,warm_cold,0.4248588356800439,0.07169486157474433,0.025582417931644473,0.47786388481356723,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9992685343269937,warm,2.0,False,False,-4.558704376220703,-6.338042259216309,-7.368556022644043,-4.441135406494141,0.1175689697265625,1.1041698849968122,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,warm,2.0,warm_cold,0.4248588356800439,0.07169486157474433,0.025582417931644473,0.47786388481356723,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.43861289838589596,cold,0.0,False,False,-4.123046398162842,-6.6774373054504395,-7.726216793060303,-8.245504379272461,2.5543909072875977,0.17112353949200104,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.8919163020381702,0.06933718823938766,0.024293331807729142,0.014453177914712977,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -10 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
heated oven air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.8702409374703834,cold,0.0,False,False,-4.406975269317627,-6.704775333404541,-6.140793323516846,-6.764944553375244,1.7338180541992188,0.5974557477644535,temp-v1_2-m010-heated_oven_air-vs-freezer_air,cold,0.0,warm_cold,0.7290220476277846,0.07325187985548089,0.12875172287550343,0.06897434964123113,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -10 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
heated oven air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9992685343269937,warm,2.0,False,False,-4.558704376220703,-6.338042259216309,-7.368556022644043,-4.441135406494141,0.1175689697265625,1.1041698849968122,temp-v1_2-m010-heated_oven_air-vs-freezer_air,warm,2.0,warm_cold,0.4248588356800439,0.07169486157474433,0.025582417931644473,0.47786388481356723,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.3067830413937869,cool,1.0,False,False,-4.493162631988525,-4.711872577667236,-5.711532115936279,-4.963327884674072,-0.21870994567871094,1.0794088511455477,temp-v1_2-p005-room_air-vs-freezer_air,cold,0.0,warm_cold,0.3670848670663888,0.2949727918458512,0.10855137712417681,0.22939096396358316,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7735251226279425,hot,3.0,False,False,-4.379120349884033,-5.737724781036377,-6.294882297515869,-2.9804022312164307,-3.3144800662994385,1.613184558354758,temp-v1_2-p005-room_air-vs-freezer_air,warm,2.0,warm_cold,0.18334313549903541,0.047122708723548505,0.026993538076377357,0.7425406177010386,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7735251226279425,hot,3.0,False,False,-4.379120349884033,-5.737724781036377,-6.294882297515869,-2.9804022312164307,-3.3144800662994385,1.613184558354758,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,warm,2.0,warm_cold,0.18334313549903541,0.047122708723548505,0.026993538076377357,0.7425406177010386,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,swimming-pool water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.1429584182580779,cold,0.0,False,False,-4.63399600982666,-5.8636369705200195,-6.487441062927246,-5.7833356857299805,1.1493396759033203,0.7906150322316222,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.5662706963142555,0.16557615916934332,0.08873258402947683,0.1794205604869242,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7735251226279425,hot,3.0,False,False,-4.379120349884033,-5.737724781036377,-6.294882297515869,-2.9804022312164307,-3.3144800662994385,1.613184558354758,temp-v1_2-p005-freezer_air-vs-bath_water,warm,2.0,warm_cold,0.18334313549903541,0.047122708723548505,0.026993538076377357,0.7425406177010386,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,bath water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9620705743323947,cold,0.0,False,False,-4.34528112411499,-5.4909348487854,-7.207334995269775,-6.188526630401611,1.1456537246704102,0.525654463718328,temp-v1_2-p005-freezer_air-vs-bath_water,cold,0.0,warm_cold,0.6521157760923857,0.20738322127020123,0.03726923717330078,0.10323176546411218,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7735251226279425,hot,3.0,False,False,-4.379120349884033,-5.737724781036377,-6.294882297515869,-2.9804022312164307,-3.3144800662994385,1.613184558354758,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,warm,2.0,warm_cold,0.18334313549903541,0.047122708723548505,0.026993538076377357,0.7425406177010386,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9457648709885697,cold,0.0,False,False,-4.296817779541016,-5.378122329711914,-6.750628471374512,-6.651973724365234,1.0813045501708984,0.5176368104443315,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.6578960878595995,0.22312729707558468,0.0565562832391151,0.06242033182570078,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
heated oven air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.2677617724448438,cold,0.0,False,False,-3.840259552001953,-4.741672515869141,-4.877647399902344,-4.899508476257324,0.9014129638671875,1.0263275094285935,temp-v1_2-p005-heated_oven_air-vs-freezer_air,cold,0.0,warm_cold,0.4745879765389345,0.19268062894094354,0.16818409144740604,0.1645473030727159,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
heated oven air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.7735251226279425,hot,3.0,False,False,-4.379120349884033,-5.737724781036377,-6.294882297515869,-2.9804022312164307,-3.3144800662994385,1.613184558354758,temp-v1_2-p005-heated_oven_air-vs-freezer_air,warm,2.0,warm_cold,0.18334313549903541,0.047122708723548505,0.026993538076377357,0.7425406177010386,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
swimming-pool water,room air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.1429584182580779,cold,0.0,False,False,-4.63399600982666,-5.8636369705200195,-6.487441062927246,-5.7833356857299805,1.1493396759033203,0.7906150322316222,temp-v1_2-p005-swimming_pool_water-vs-room_air,cold,0.0,warm_cold,0.5662706963142555,0.16557615916934332,0.08873258402947683,0.1794205604869242,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
swimming-pool water,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.3067830413937869,cool,1.0,False,False,-4.493162631988525,-4.711872577667236,-5.711532115936279,-4.963327884674072,-0.21870994567871094,1.0794088511455477,temp-v1_2-p005-swimming_pool_water-vs-room_air,cold,0.0,warm_cold,0.3670848670663888,0.2949727918458512,0.10855137712417681,0.22939096396358316,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
room air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.3067830413937869,cool,1.0,False,False,-4.493162631988525,-4.711872577667236,-5.711532115936279,-4.963327884674072,-0.21870994567871094,1.0794088511455477,temp-v1_2-p005-room_air-vs-bath_water,cold,0.0,warm_cold,0.3670848670663888,0.2949727918458512,0.10855137712417681,0.22939096396358316,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
room air,bath water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9620705743323947,cold,0.0,False,False,-4.34528112411499,-5.4909348487854,-7.207334995269775,-6.188526630401611,1.1456537246704102,0.525654463718328,temp-v1_2-p005-room_air-vs-bath_water,cold,0.0,warm_cold,0.6521157760923857,0.20738322127020123,0.03726923717330078,0.10323176546411218,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freshly served tea,room air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9457648709885697,cold,0.0,False,False,-4.296817779541016,-5.378122329711914,-6.750628471374512,-6.651973724365234,1.0813045501708984,0.5176368104443315,temp-v1_2-p005-freshly_served_tea-vs-room_air,cold,0.0,warm_cold,0.6578960878595995,0.22312729707558468,0.0565562832391151,0.06242033182570078,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freshly served tea,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.3067830413937869,cool,1.0,False,False,-4.493162631988525,-4.711872577667236,-5.711532115936279,-4.963327884674072,-0.21870994567871094,1.0794088511455477,temp-v1_2-p005-freshly_served_tea-vs-room_air,cold,0.0,warm_cold,0.3670848670663888,0.2949727918458512,0.10855137712417681,0.22939096396358316,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
room air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.3067830413937869,cool,1.0,False,False,-4.493162631988525,-4.711872577667236,-5.711532115936279,-4.963327884674072,-0.21870994567871094,1.0794088511455477,temp-v1_2-p005-room_air-vs-heated_oven_air,cold,0.0,warm_cold,0.3670848670663888,0.2949727918458512,0.10855137712417681,0.22939096396358316,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
room air,heated oven air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.2677617724448438,cold,0.0,False,False,-3.840259552001953,-4.741672515869141,-4.877647399902344,-4.899508476257324,0.9014129638671875,1.0263275094285935,temp-v1_2-p005-room_air-vs-heated_oven_air,cold,0.0,warm_cold,0.4745879765389345,0.19268062894094354,0.16818409144740604,0.1645473030727159,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
freezer air,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9980325757634634,hot,3.0,False,False,-4.092259883880615,-5.428934574127197,-6.442526340484619,-3.508277416229248,-2.934248924255371,1.3122126547856106,temp-v1_2-p015-freezer_air-vs-room_air,warm,2.0,warm_cold,0.31733670293944755,0.08337001183057384,0.03025607249507963,0.5690372127348989,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
freezer air,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,1.2773062551242393,cool,1.0,False,False,-4.25067138671875,-4.497894287109375,-5.5650177001953125,-5.062900543212891,-0.247222900390625,0.9924472223038205,temp-v1_2-p015-freezer_air-vs-room_air,cold,0.0,warm_cold,0.40104528644556797,0.3132029723454419,0.10774076754039853,0.17801097366859148,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9385902283779504,cool,1.0,False,False,-3.9893579483032227,-5.498798370361328,-6.530865669250488,-5.866786956787109,-1.5094404220581055,0.5253724217480672,temp-v1_2-p015-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.6883429874367368,0.15214694844316526,0.054205345064706194,0.10530471905539164,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation,temperature,0.9980325757634634,hot,3.0,False,False,-4.092259883880615,-5.428934574127197,-6.442526340484619,-3.508277416229248,-2.934248924255371,1.3122126547856106,temp-v1_2-p015-swimming_pool_water-vs-freezer_air,warm,2.0,warm_cold,0.31733670293944755,0.08337001183057384,0.03025607249507963,0.5690372127348989,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_2,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
