comparison,correct,domain,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_cold,prob_cool,prob_hot,prob_huge,prob_large,prob_mass_in_label_order,prob_mature,prob_old,prob_small,prob_tiny,prob_warm,prob_young,prob_youthful,prompt,prompt_hash,side,standard,target,value
freezer air,1,temperature,0.9992685343269937,warm,2.0,1.1041698849968122,temp-v1_2-m010-bath_water-vs-freezer_air,warm,2.0,8.0,0.4248588356800439,0.07169486157474433,0.025582417931644473,,,1.0,,,,,0.47786388481356723,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",47245ab28440a761,b,-18.0,-10 degrees Celsius,-10.0
freezer air,1,temperature,0.9992685343269937,warm,2.0,1.1041698849968122,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,warm,2.0,8.0,0.4248588356800439,0.07169486157474433,0.025582417931644473,,,1.0,,,,,0.47786388481356723,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",47245ab28440a761,a,-18.0,-10 degrees Celsius,-10.0
freshly served tea,1,temperature,0.43861289838589596,cold,0.0,0.17112353949200104,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,cold,0.0,-90.0,0.8919163020381702,0.06933718823938766,0.024293331807729142,,,1.0,,,,,0.014453177914712977,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -10 degrees Celsius feels",2d99f06a314331b2,b,80.0,-10 degrees Celsius,-10.0
heated oven air,1,temperature,0.8702409374703834,cold,0.0,0.5974557477644535,temp-v1_2-m010-heated_oven_air-vs-freezer_air,cold,0.0,-190.0,0.7290220476277846,0.07325187985548089,0.12875172287550343,,,1.0,,,,,0.06897434964123113,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -10 degrees Celsius feels",f84aad4f2dd5742e,a,180.0,-10 degrees Celsius,-10.0
freezer air,1,temperature,0.9992685343269937,warm,2.0,1.1041698849968122,temp-v1_2-m010-heated_oven_air-vs-freezer_air,warm,2.0,8.0,0.4248588356800439,0.07169486157474433,0.025582417931644473,,,1.0,,,,,0.47786388481356723,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",47245ab28440a761,b,-18.0,-10 degrees Celsius,-10.0
room air,0,temperature,1.3067830413937869,cool,1.0,1.0794088511455477,temp-v1_2-p005-room_air-vs-freezer_air,cold,0.0,-16.0,0.3670848670663888,0.2949727918458512,0.10855137712417681,,,1.0,,,,,0.22939096396358316,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",4e520550b0a0eea5,a,21.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.7735251226279425,hot,3.0,1.613184558354758,temp-v1_2-p005-room_air-vs-freezer_air,warm,2.0,23.0,0.18334313549903541,0.047122708723548505,0.026993538076377357,,,0.9999999999999999,,,,,0.7425406177010386,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",b4f39dd358dd9bc7,b,-18.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.7735251226279425,hot,3.0,1.613184558354758,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,warm,2.0,23.0,0.18334313549903541,0.047122708723548505,0.026993538076377357,,,0.9999999999999999,,,,,0.7425406177010386,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",b4f39dd358dd9bc7,a,-18.0,5 degrees Celsius,5.0
swimming-pool water,1,temperature,1.1429584182580779,cold,0.0,0.7906150322316222,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,cold,0.0,-22.0,0.5662706963142555,0.16557615916934332,0.08873258402947683,,,0.9999999999999999,,,,,0.1794205604869242,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",d38a3d3f0468c750,b,27.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.7735251226279425,hot,3.0,1.613184558354758,temp-v1_2-p005-freezer_air-vs-bath_water,warm,2.0,23.0,0.18334313549903541,0.047122708723548505,0.026993538076377357,,,0.9999999999999999,,,,,0.7425406177010386,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",b4f39dd358dd9bc7,a,-18.0,5 degrees Celsius,5.0
bath water,1,temperature,0.9620705743323947,cold,0.0,0.525654463718328,temp-v1_2-p005-freezer_air-vs-bath_water,cold,0.0,-33.0,0.6521157760923857,0.20738322127020123,0.03726923717330078,,,0.9999999999999999,,,,,0.10323176546411218,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",4a9032bbeccd8930,b,38.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.7735251226279425,hot,3.0,1.613184558354758,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,warm,2.0,23.0,0.18334313549903541,0.047122708723548505,0.026993538076377357,,,0.9999999999999999,,,,,0.7425406177010386,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",b4f39dd358dd9bc7,a,-18.0,5 degrees Celsius,5.0
freshly served tea,1,temperature,0.9457648709885697,cold,0.0,0.5176368104443315,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,cold,0.0,-75.0,0.6578960878595995,0.22312729707558468,0.0565562832391151,,,1.0,,,,,0.06242033182570078,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",2c9635bbf6c79aad,b,80.0,5 degrees Celsius,5.0
heated oven air,1,temperature,1.2677617724448438,cold,0.0,1.0263275094285935,temp-v1_2-p005-heated_oven_air-vs-freezer_air,cold,0.0,-175.0,0.4745879765389345,0.19268062894094354,0.16818409144740604,,,1.0,,,,,0.1645473030727159,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",60477b1a9d25b06f,a,180.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.7735251226279425,hot,3.0,1.613184558354758,temp-v1_2-p005-heated_oven_air-vs-freezer_air,warm,2.0,23.0,0.18334313549903541,0.047122708723548505,0.026993538076377357,,,0.9999999999999999,,,,,0.7425406177010386,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",b4f39dd358dd9bc7,b,-18.0,5 degrees Celsius,5.0
swimming-pool water,1,temperature,1.1429584182580779,cold,0.0,0.7906150322316222,temp-v1_2-p005-swimming_pool_water-vs-room_air,cold,0.0,-22.0,0.5662706963142555,0.16557615916934332,0.08873258402947683,,,0.9999999999999999,,,,,0.1794205604869242,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",d38a3d3f0468c750,a,27.0,5 degrees Celsius,5.0
room air,0,temperature,1.3067830413937869,cool,1.0,1.0794088511455477,temp-v1_2-p005-swimming_pool_water-vs-room_air,cold,0.0,-16.0,0.3670848670663888,0.2949727918458512,0.10855137712417681,,,1.0,,,,,0.22939096396358316,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",4e520550b0a0eea5,b,21.0,5 degrees Celsius,5.0
room air,0,temperature,1.3067830413937869,cool,1.0,1.0794088511455477,temp-v1_2-p005-room_air-vs-bath_water,cold,0.0,-16.0,0.3670848670663888,0.2949727918458512,0.10855137712417681,,,1.0,,,,,0.22939096396358316,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",4e520550b0a0eea5,a,21.0,5 degrees Celsius,5.0
bath water,1,temperature,0.9620705743323947,cold,0.0,0.525654463718328,temp-v1_2-p005-room_air-vs-bath_water,cold,0.0,-33.0,0.6521157760923857,0.20738322127020123,0.03726923717330078,,,0.9999999999999999,,,,,0.10323176546411218,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",4a9032bbeccd8930,b,38.0,5 degrees Celsius,5.0
freshly served tea,1,temperature,0.9457648709885697,cold,0.0,0.5176368104443315,temp-v1_2-p005-freshly_served_tea-vs-room_air,cold,0.0,-75.0,0.6578960878595995,0.22312729707558468,0.0565562832391151,,,1.0,,,,,0.06242033182570078,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",2c9635bbf6c79aad,a,80.0,5 degrees Celsius,5.0
room air,0,temperature,1.3067830413937869,cool,1.0,1.0794088511455477,temp-v1_2-p005-freshly_served_tea-vs-room_air,cold,0.0,-16.0,0.3670848670663888,0.2949727918458512,0.10855137712417681,,,1.0,,,,,0.22939096396358316,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",4e520550b0a0eea5,b,21.0,5 degrees Celsius,5.0
room air,0,temperature,1.3067830413937869,cool,1.0,1.0794088511455477,temp-v1_2-p005-room_air-vs-heated_oven_air,cold,0.0,-16.0,0.3670848670663888,0.2949727918458512,0.10855137712417681,,,1.0,,,,,0.22939096396358316,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",4e520550b0a0eea5,a,21.0,5 degrees Celsius,5.0
heated oven air,1,temperature,1.2677617724448438,cold,0.0,1.0263275094285935,temp-v1_2-p005-room_air-vs-heated_oven_air,cold,0.0,-175.0,0.4745879765389345,0.19268062894094354,0.16818409144740604,,,1.0,,,,,0.1645473030727159,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",60477b1a9d25b06f,b,180.0,5 degrees Celsius,5.0
freezer air,0,temperature,0.9980325757634634,hot,3.0,1.3122126547856106,temp-v1_2-p015-freezer_air-vs-room_air,warm,2.0,33.0,0.31733670293944755,0.08337001183057384,0.03025607249507963,,,1.0,,,,,0.5690372127348989,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",4c65756d1a19e71e,a,-18.0,15 degrees Celsius,15.0
room air,0,temperature,1.2773062551242393,cool,1.0,0.9924472223038205,temp-v1_2-p015-freezer_air-vs-room_air,cold,0.0,-6.0,0.40104528644556797,0.3132029723454419,0.10774076754039853,,,1.0,,,,,0.17801097366859148,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",589eebe245e26f66,b,21.0,15 degrees Celsius,15.0
swimming-pool water,0,temperature,0.9385902283779504,cool,1.0,0.5253724217480672,temp-v1_2-p015-swimming_pool_water-vs-freezer_air,cold,0.0,-12.0,0.6883429874367368,0.15214694844316526,0.054205345064706194,,,0.9999999999999999,,,,,0.10530471905539164,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",433a44ff33405d27,a,27.0,15 degrees Celsius,15.0
freezer air,0,temperature,0.9980325757634634,hot,3.0,1.3122126547856106,temp-v1_2-p015-swimming_pool_water-vs-freezer_air,warm,2.0,33.0,0.31733670293944755,0.08337001183057384,0.03025607249507963,,,1.0,,,,,0.5690372127348989,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",4c65756d1a19e71e,b,-18.0,15 degrees Celsius,15.0
bath water,1,temperature,0.7346509697643502,cold,0.0,0.3311839230462862,temp-v1_2-p015-bath_water-vs-freezer_air,cold,0.0,-23.0,0.7637989476608865,0.15381700662194397,0.012598824990003189,,,1.0,,,,,0.06978522072716631,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",4977e50843bb7bb3,a,38.0,15 degrees Celsius,15.0
freezer air,0,temperature,0.9980325757634634,hot,3.0,1.3122126547856106,temp-v1_2-p015-bath_water-vs-freezer_air,warm,2.0,33.0,0.31733670293944755,0.08337001183057384,0.03025607249507963,,,1.0,,,,,0.5690372127348989,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",4c65756d1a19e71e,b,-18.0,15 degrees Celsius,15.0
freshly served tea,1,temperature,0.8856303648287903,cold,0.0,0.4531786496094752,temp-v1_2-p015-freshly_served_tea-vs-freezer_air,cold,0.0,-65.0,0.6856993506191369,0.2146389705545164,0.039216321402265227,,,1.0000000000000002,,,,,0.060445357424081594,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",f41fc7269a8eafa0,a,80.0,15 degrees Celsius,15.0
freezer air,0,temperature,0.9980325757634634,hot,3.0,1.3122126547856106,temp-v1_2-p015-freshly_served_tea-vs-freezer_air,warm,2.0,33.0,0.31733670293944755,0.08337001183057384,0.03025607249507963,,,1.0,,,,,0.5690372127348989,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",4c65756d1a19e71e,b,-18.0,15 degrees Celsius,15.0
heated oven air,1,temperature,1.1868172722450672,cold,0.0,0.8737089435280686,temp-v1_2-p015-heated_oven_air-vs-freezer_air,cold,0.0,-165.0,0.540984525567695,0.18972259034054945,0.1454005850040081,,,1.0,,,,,0.12389229908774745,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",78ab8525d5525d9e,a,180.0,15 degrees Celsius,15.0
freezer air,0,temperature,0.9980325757634634,hot,3.0,1.3122126547856106,temp-v1_2-p015-heated_oven_air-vs-freezer_air,warm,2.0,33.0,0.31733670293944755,0.08337001183057384,0.03025607249507963,,,1.0,,,,,0.5690372127348989,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",4c65756d1a19e71e,b,-18.0,15 degrees Celsius,15.0
room air,0,temperature,1.2773062551242393,cool,1.0,0.9924472223038205,temp-v1_2-p015-room_air-vs-bath_water,cold,0.0,-6.0,0.40104528644556797,0.3132029723454419,0.10774076754039853,,,1.0,,,,,0.17801097366859148,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",589eebe245e26f66,a,21.0,15 degrees Celsius,15.0
bath water,1,temperature,0.7346509697643502,cold,0.0,0.3311839230462862,temp-v1_2-p015-room_air-vs-bath_water,cold,0.0,-23.0,0.7637989476608865,0.15381700662194397,0.012598824990003189,,,1.0,,,,,0.06978522072716631,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",4977e50843bb7bb3,b,38.0,15 degrees Celsius,15.0
freshly served tea,1,temperature,0.8856303648287903,cold,0.0,0.4531786496094752,temp-v1_2-p015-freshly_served_tea-vs-room_air,cold,0.0,-65.0,0.6856993506191369,0.2146389705545164,0.039216321402265227,,,1.0000000000000002,,,,,0.060445357424081594,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",f41fc7269a8eafa0,a,80.0,15 degrees Celsius,15.0
room air,0,temperature,1.2773062551242393,cool,1.0,0.9924472223038205,temp-v1_2-p015-freshly_served_tea-vs-room_air,cold,0.0,-6.0,0.40104528644556797,0.3132029723454419,0.10774076754039853,,,1.0,,,,,0.17801097366859148,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",589eebe245e26f66,b,21.0,15 degrees Celsius,15.0
room air,0,temperature,1.2773062551242393,cool,1.0,0.9924472223038205,temp-v1_2-p015-room_air-vs-heated_oven_air,cold,0.0,-6.0,0.40104528644556797,0.3132029723454419,0.10774076754039853,,,1.0,,,,,0.17801097366859148,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",589eebe245e26f66,a,21.0,15 degrees Celsius,15.0
heated oven air,1,temperature,1.1868172722450672,cold,0.0,0.8737089435280686,temp-v1_2-p015-room_air-vs-heated_oven_air,cold,0.0,-165.0,0.540984525567695,0.18972259034054945,0.1454005850040081,,,1.0,,,,,0.12389229908774745,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",78ab8525d5525d9e,b,180.0,15 degrees Celsius,15.0
bath water,1,temperature,0.7346509697643502,cold,0.0,0.3311839230462862,temp-v1_2-p015-bath_water-vs-swimming_pool_water,cold,0.0,-23.0,0.7637989476608865,0.15381700662194397,0.012598824990003189,,,1.0,,,,,0.06978522072716631,,,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",4977e50843bb7bb3,a,38.0,15 degrees Celsius,15.0
swimming-pool water,0,temperature,0.9385902283779504,cool,1.0,0.5253724217480672,temp-v1_2-p015-bath_water-vs-swimming_pool_water,cold,0.0,-12.0,0.6883429874367368,0.15214694844316526,0.054205345064706194,,,0.9999999999999999,,,,,0.10530471905539164,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",433a44ff33405d27,b,27.0,15 degrees Celsius,15.0
swimming-pool water,0,temperature,0.9385902283779504,cool,1.0,0.5253724217480672,temp-v1_2-p015-swimming_pool_water-vs-freshly_served_tea,cold,0.0,-12.0,0.6883429874367368,0.15214694844316526,0.054205345064706194,,,0.9999999999999999,,,,,0.10530471905539164,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",433a44ff33405d27,a,27.0,15 degrees Celsius,15.0
freshly served tea,1,temperature,0.8856303648287903,cold,0.0,0.4531786496094752,temp-v1_2-p015-swimming_pool_water-vs-freshly_served_tea,cold,0.0,-65.0,0.6856993506191369,0.2146389705545164,0.039216321402265227,,,1.0000000000000002,,,,,0.060445357424081594,,,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",f41fc7269a8eafa0,b,80.0,15 degrees Celsius,15.0
swimming-pool water,0,temperature,0.9385902283779504,cool,1.0,0.5253724217480672,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,cold,0.0,-12.0,0.6883429874367368,0.15214694844316526,0.054205345064706194,,,0.9999999999999999,,,,,0.10530471905539164,,,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",433a44ff33405d27,a,27.0,15 degrees Celsius,15.0
heated oven air,1,temperature,1.1868172722450672,cold,0.0,0.8737089435280686,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,cold,0.0,-165.0,0.540984525567695,0.18972259034054945,0.1454005850040081,,,1.0,,,,,0.12389229908774745,,,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",78ab8525d5525d9e,b,180.0,15 degrees Celsius,15.0
room air,1,temperature,1.157825493172862,warm,2.0,2.15529317007318,temp-v1_2-p025-room_air-vs-freezer_air,warm,2.0,4.0,0.0544434777514854,0.1324684090997816,0.3966485346759321,,,0.9999999999999999,,,,,0.4164395784728008,,,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 25 degrees Celsius feels",64dc9fb3b69342fe,a,21.0,25 degrees Celsius,25.0
freezer air,0,temperature,0.7610425591231099,hot,3.0,1.7017019943570308,temp-v1_2-p025-room_air-vs-freezer_air,warm,2.0,43.0,0.13624806640832635,0.060644156188301435,0.034842283361985124,,,1.0,,,,,0.7682654940413871,,,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 25 degrees Celsius feels",f04353d39056d012,b,-18.0,25 degrees Celsius,25.0
