a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,has_semantic_scaffold,is_artificial_norm,is_borderline,is_counter_natural,label_order,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,readout_family,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
large,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 90 centimeters counts as",small,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 90 centimeters counts as",Scale class 60 objects,Scale class 120 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,-0.2876820724517809,False,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_120_objects,size-v2-iso_ratio-adjective_counts-p0090-Scale_class_60_objects-vs-Scale_class_120_objects,adjective_counts,1.5,0.75,1.5,0.75,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,60,120,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
large,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 90 centimeters counts as",tiny,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 90 centimeters counts as",Scale class 60 objects,Scale class 240 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,-0.9808292530117262,False,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_240_objects,size-v2-iso_ratio-adjective_counts-p0090-Scale_class_60_objects-vs-Scale_class_240_objects,adjective_counts,1.5,0.375,1.5,0.375,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,60,240,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
small,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 90 centimeters counts as",tiny,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 90 centimeters counts as",Scale class 120 objects,Scale class 240 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-0.2876820724517809,-0.9808292530117262,False,size-v2-iso_ratio-p0090-Scale_class_120_objects-vs-Scale_class_240_objects,size-v2-iso_ratio-adjective_counts-p0090-Scale_class_120_objects-vs-Scale_class_240_objects,adjective_counts,0.75,0.375,0.75,0.375,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,120,240,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
tiny,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 120 centimeters counts as",huge,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 120 centimeters counts as",Scale class 240 objects,Scale class 30 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-0.6931471805599453,1.3862943611198906,True,size-v2-iso_ratio-p0120-Scale_class_240_objects-vs-Scale_class_30_objects,size-v2-iso_ratio-adjective_counts-p0120-Scale_class_30_objects-vs-Scale_class_240_objects,adjective_counts,0.5,4.0,0.5,4,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,30,comparison_class_explicit,120 centimeters,gradable_scalar,centimeters,120
tiny,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 120 centimeters counts as",huge,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 120 centimeters counts as",Scale class 240 objects,Scale class 60 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-0.6931471805599453,0.6931471805599453,True,size-v2-iso_ratio-p0120-Scale_class_240_objects-vs-Scale_class_60_objects,size-v2-iso_ratio-adjective_counts-p0120-Scale_class_60_objects-vs-Scale_class_240_objects,adjective_counts,0.5,2.0,0.5,2,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,60,comparison_class_explicit,120 centimeters,gradable_scalar,centimeters,120
huge,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 180 centimeters counts as",large,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 180 centimeters counts as",Scale class 30 objects,Scale class 120 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",1.791759469228055,0.4054651081081644,False,size-v2-iso_ratio-p0180-Scale_class_30_objects-vs-Scale_class_120_objects,size-v2-iso_ratio-adjective_counts-p0180-Scale_class_30_objects-vs-Scale_class_120_objects,adjective_counts,6.0,1.5,6,1.5,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,30,120,comparison_class_explicit,180 centimeters,gradable_scalar,centimeters,180
small,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 180 centimeters counts as",huge,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 180 centimeters counts as",Scale class 240 objects,Scale class 30 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-0.2876820724517809,1.791759469228055,True,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_30_objects,size-v2-iso_ratio-adjective_counts-p0180-Scale_class_30_objects-vs-Scale_class_240_objects,adjective_counts,0.75,6.0,0.75,6,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,30,comparison_class_explicit,180 centimeters,gradable_scalar,centimeters,180
huge,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 180 centimeters counts as",large,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 180 centimeters counts as",Scale class 60 objects,Scale class 120 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",1.0986122886681098,0.4054651081081644,False,size-v2-iso_ratio-p0180-Scale_class_60_objects-vs-Scale_class_120_objects,size-v2-iso_ratio-adjective_counts-p0180-Scale_class_60_objects-vs-Scale_class_120_objects,adjective_counts,3.0,1.5,3,1.5,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,60,120,comparison_class_explicit,180 centimeters,gradable_scalar,centimeters,180
small,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 180 centimeters counts as",huge,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 180 centimeters counts as",Scale class 240 objects,Scale class 60 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-0.2876820724517809,1.0986122886681098,True,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_60_objects,size-v2-iso_ratio-adjective_counts-p0180-Scale_class_60_objects-vs-Scale_class_240_objects,adjective_counts,0.75,3.0,0.75,3,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,60,comparison_class_explicit,180 centimeters,gradable_scalar,centimeters,180
large,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 180 centimeters counts as",small,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 180 centimeters counts as",Scale class 120 objects,Scale class 240 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,-0.2876820724517809,False,size-v2-iso_ratio-p0180-Scale_class_120_objects-vs-Scale_class_240_objects,size-v2-iso_ratio-adjective_counts-p0180-Scale_class_120_objects-vs-Scale_class_240_objects,adjective_counts,1.5,0.75,1.5,0.75,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,120,240,comparison_class_explicit,180 centimeters,gradable_scalar,centimeters,180
large,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 360 centimeters counts as",huge,"The normal overall length for Scale class 30 objects is 30 centimeters. Compared only to that 30-centimeter length standard for Scale class 30 objects, an overall length of 360 centimeters counts as",Scale class 240 objects,Scale class 30 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,2.4849066497880004,True,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_30_objects,size-v2-iso_ratio-adjective_counts-p0360-Scale_class_30_objects-vs-Scale_class_240_objects,adjective_counts,1.5,12.0,1.5,12,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,30,comparison_class_explicit,360 centimeters,gradable_scalar,centimeters,360
large,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 360 centimeters counts as",huge,"The normal overall length for Scale class 60 objects is 60 centimeters. Compared only to that 60-centimeter length standard for Scale class 60 objects, an overall length of 360 centimeters counts as",Scale class 240 objects,Scale class 60 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,1.791759469228055,True,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_60_objects,size-v2-iso_ratio-adjective_counts-p0360-Scale_class_60_objects-vs-Scale_class_240_objects,adjective_counts,1.5,6.0,1.5,6,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,60,comparison_class_explicit,360 centimeters,gradable_scalar,centimeters,360
large,"The normal overall length for Scale class 240 objects is 240 centimeters. Compared only to that 240-centimeter length standard for Scale class 240 objects, an overall length of 360 centimeters counts as",huge,"The normal overall length for Scale class 120 objects is 120 centimeters. Compared only to that 120-centimeter length standard for Scale class 120 objects, an overall length of 360 centimeters counts as",Scale class 240 objects,Scale class 120 objects,neutral_iso_ratio_grid,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.4054651081081644,1.0986122886681098,True,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_120_objects,size-v2-iso_ratio-adjective_counts-p0360-Scale_class_120_objects-vs-Scale_class_240_objects,adjective_counts,1.5,3.0,1.5,3,adjective_counts,iso_ratio,relative_open_size,bierwisch_kennedy_size_v2_iso_ratio,240,120,comparison_class_explicit,360 centimeters,gradable_scalar,centimeters,360
